Водитель погрузчика;Итого по должностям
Кладовщик;Итого по должностям
Кухонный рабочий;Итого по должностям
Повар;Итого по должностям
Подсобный рабочий;Итого по должностям
Слесарь-сантехник;Итого по должностям
Токарь;Итого по должностям
Уборщик производственных и служебных помещений;Итого по должностям
Электрогазосварщик;Итого по должностям
Лаборант химического анализа;Итого по должностям
Заведующий лабораторией;Итого по должностям
Инженер;Итого по должностям
Ведущий инженер;Итого по должностям
Начальник исследовательского центра;Итого по должностям
Геолог;Итого по должностям
Горнорабочий;Итого по должностям
Начальник автоколонны;Итого по должностям
Делопроизводитель;Итого по должностям
Заведующий складом;Итого по должностям
Заведующий хозяйством;Итого по должностям
Электромонтажник по освещению и осветительным сетям;Итого по должностям
Мастер;Итого по должностям
Начальник базы;Итого по должностям
Машинист крана автомобильного;Итого по должностям
Медицинская сестра;Итого по должностям
Механик;Итого по должностям
Бетонщик;Итого по должностям
Маляр;Итого по должностям
Технолог;Итого по должностям
Штукатур;Итого по должностям
Ведущий специалист;Итого по должностям
Руководитель отдела;Итого по должностям
